Destination,Year,Export_Value
Total RUK Exports,2008,46.3
Total EU Exports,2008,11.045
Total RUK + International Exports,2008,68.965
International Non-EU,2008,11.62
Total RUK Exports,2009,43.725
Total EU Exports,2009,10.465
Total RUK + International Exports,2009,65.51
International Non-EU,2009,11.32
Total RUK Exports,2010,45.47
Total EU Exports,2010,10.93
Total RUK + International Exports,2010,69.325
International Non-EU,2010,12.92
Total RUK Exports,2011,45.84
Total EU Exports,2011,14.775
Total RUK + International Exports,2011,75.83
International Non-EU,2011,15.215
Total RUK Exports,2012,47.13
Total EU Exports,2012,12.02
Total RUK + International Exports,2012,74.54
International Non-EU,2012,15.39
Total RUK Exports,2013,48.495
Total EU Exports,2013,13.425
Total RUK + International Exports,2013,77.835
International Non-EU,2013,15.915
Total RUK Exports,2014,48.48
Total EU Exports,2014,13.63
Total RUK + International Exports,2014,78.79
International Non-EU,2014,16.675
Total RUK Exports,2015,48.815
Total EU Exports,2015,13.105
Total RUK + International Exports,2015,78.555
International Non-EU,2015,16.635
Total RUK Exports,2016,45.57
Total EU Exports,2016,14.455
Total RUK + International Exports,2016,76.175
International Non-EU,2016,16.15
Total RUK Exports,2017,50.455
Total EU Exports,2017,15.875
Total RUK + International Exports,2017,82.755
International Non-EU,2017,16.425
Total RUK Exports,2018,48.48
Total EU Exports,2018,15.535
Total RUK + International Exports,2018,80.95
International Non-EU,2018,16.935
Total RUK Exports,2019,46.845
Total EU Exports,2019,15.575
Total RUK + International Exports,2019,80.125
International Non-EU,2019,17.705
Total RUK Exports,2020,43.065
Total EU Exports,2020,13.675
Total RUK + International Exports,2020,70.75
International Non-EU,2020,14.01
Total RUK Exports,2021,49.28
Total EU Exports,2021,14.11
Total RUK + International Exports,2021,79.21
International Non-EU,2021,15.82
Total RUK Exports,2022,58.3
Total EU Exports,2022,17.855
Total RUK + International Exports,2022,96.29
International Non-EU,2022,20.13
Total RUK Exports,2023,55.405
Total EU Exports,2023,17.06
Total RUK + International Exports,2023,93.07
International Non-EU,2023,20.605
