Year,RUK (Real),RUK Index,RUK (Curr),EU (Real),EU Index,EU (Curr),Total (Real),Total Index,Total (Curr)
2008,46.3,100,46.3,11.045,100,11.045,68.965,100,68.965
2009,44.2,98.925,43.725,10.55,99.194,10.465,65.97,99.303,65.51
2010,45.24,100.508,45.47,10.93,100,10.93,68.62,101.02,69.32
2011,44.03,104.111,45.84,13.48,109.607,14.775,71.72,105.731,75.83
2012,44.8,105.201,47.13,11.01,109.173,12.02,70.22,106.152,74.54
2013,45.45,106.7,48.495,11.91,112.72,13.425,72.31,107.641,77.835
2014,45.73,106.014,48.48,12.63,107.918,13.63,74.17,106.222,78.785
2015,46.62,104.708,48.815,12.5,104.84,13.105,74.93,104.838,78.555
2016,42.58,107.022,45.57,13.66,105.82,14.455,70.8,107.592,76.175
2017,45.74,110.308,50.455,14.38,110.396,15.875,74.92,110.458,82.755
2018,42.56,113.91,48.48,13.43,115.674,15.535,70.8,114.336,80.95
2019,40.42,115.896,46.845,13.18,118.171,15.575,68.81,116.444,80.125
2020,37,116.392,43.065,12.08,113.204,13.675,60.93,116.117,70.75
2021,40.59,121.409,49.28,11.6,121.638,14.11,65.1,121.674,79.21
2022,44.84,130.018,58.3,12.57,142.045,17.855,73.02,131.861,96.285
2023,37.61,147.315,55.405,12.07,141.342,17.06,65.02,143.141,93.07
